Name,Department,Overall_Rating,Difficulty,Would_Take_Again_Pct,Num_Ratings,RMP_ID,RMP_URL
 Jovonne  Bickerstaff,Arts  Sciences,3,4.1,42.8571%,8,2051752,https://www.ratemyprofessors.com/professor/2051752
Louis W. Shapiro,Mathematics,2.8,4.2,40%,11,940809,https://www.ratemyprofessors.com/professor/940809
Nkechi Enwerem,Nursing,2,2.5,50%,2,2303838,https://www.ratemyprofessors.com/professor/2303838
Marcus Alfred,Physics,4,2.5,100%,12,490995,https://www.ratemyprofessors.com/professor/490995
Samaneh Balali,Communication,2.3,2.3,0%,3,2525506,https://www.ratemyprofessors.com/professor/2525506
Kerri Alexander,African-American Studies,5,3,100%,1,2593659,https://www.ratemyprofessors.com/professor/2593659
Isabel Galbraith,English,5,2.3,100%,9,2318667,https://www.ratemyprofessors.com/professor/2318667
Tiffany Bell,Communication,4.8,3,100%,4,1491424,https://www.ratemyprofessors.com/professor/1491424
Linda Berg-Cross,Psychology,4.4,3.6,100%,5,388500,https://www.ratemyprofessors.com/professor/388500
Roger Mucuuthi,Political Science,2,3,0%,1,2583809,https://www.ratemyprofessors.com/professor/2583809
Yilma Gultneh,Chemistry,3.7,3,75%,19,944405,https://www.ratemyprofessors.com/professor/944405
Weir Melissa L.,Nursing,2.6,3.8,66.6667%,12,1727556,https://www.ratemyprofessors.com/professor/1727556
Jarin Hawkins,English,4.5,1.8,100%,6,2274345,https://www.ratemyprofessors.com/professor/2274345
Kelli Hill,Psychology,2.8,3.1,50%,10,2390263,https://www.ratemyprofessors.com/professor/2390263
Yanick Lamb,Journalism,3.6,2.8,100%,6,810756,https://www.ratemyprofessors.com/professor/810756
Candace Shannon,Communication,4.3,1.5,50%,6,542636,https://www.ratemyprofessors.com/professor/542636
Carolyn Malachi,Communication,5,3,100%,1,2579972,https://www.ratemyprofessors.com/professor/2579972
Milton Coleman,Journalism,5,4,100%,1,2579959,https://www.ratemyprofessors.com/professor/2579959
Fadel Lashhab,Engineering,5,2,100%,1,2556208,https://www.ratemyprofessors.com/professor/2556208
Renee Latchman,English,4.8,1.8,100%,16,2064959,https://www.ratemyprofessors.com/professor/2064959
Michael Fauntroy,Political Science,5,3.1,100%,7,1957586,https://www.ratemyprofessors.com/professor/1957586
Onochie Dieli,Economics,3.5,2.5,77.7778%,29,1771011,https://www.ratemyprofessors.com/professor/1771011
Raul Garcia-Sanchez,Physics,3.9,3.7,80%,10,2180831,https://www.ratemyprofessors.com/professor/2180831
Silas Burris,Psychology,4.5,3.5,100%,2,2152616,https://www.ratemyprofessors.com/professor/2152616
LaDawn Manuel,Film,4.5,3,100%,2,2548671,https://www.ratemyprofessors.com/professor/2548671
George Middendorf,Biology,3.7,3.7,66.6667%,10,671789,https://www.ratemyprofessors.com/professor/671789
Patricia Elam,English,4.8,1.8,66.6667%,15,1174689,https://www.ratemyprofessors.com/professor/1174689
