Course_Code,Section,Course_Name,Status,Instructor,Room,Days,Time
MGMT 301,1,Management & OB HONORS,Open,Stephanie Leonard,N/A,"Tuesday, Thursday",11:10 AM - 12:30 PM
MGMT 301,2,Management & OB,Open,Ingrid Hayes-Burrell,CB4-317,"Tuesday, Thursday",8:10 AM - 9:30 AM
MGMT 301,3,Management & OB,Open,Ingrid Hayes-Burrell,N/A,"Tuesday, Thursday",9:40 AM - 11:00 AM
MGMT 301,4,Management & OB,Waitlist,Cathy House,CB4-218,"Monday, Wednesday",2:10 PM - 3:30 PM
MGMT 301,5,Management & OB,Open,Stephanie Leonard,CB4-216,"Tuesday, Thursday",12:40 PM - 2:00 PM
MGMT 301,6,Management & OB,Waitlist,Cathy House,CB4-317,"Monday, Wednesday",9:40 AM - 11:00 AM
MGMT 301,7,Management & OB,Open,Cathy House,CB4-218,"Monday, Wednesday",3:40 PM - 5:00 PM
MGMT 302-1 - Adv Organizational Behavior,N/A,Adv Organizational Behavior,Open,Amanda Hinojosa,CB4-317,"Tuesday, Thursday",9:40 AM - 11:00 AM
MGMT 303-1 - Human Resources Mgmt,N/A,Human Resources Mgmt,Open,Charles Pugh,CB4-217,"Monday, Wednesday",5:10 PM - 6:30 PM
MGMT 316,1,Business Ethics,Closed,Raymond Smith,N/A,"Monday, Wednesday",12:40 PM - 2:00 PM
MGMT 331,1,Decision Making,Waitlist,Raymond Smith,N/A,"Monday, Wednesday",2:10 PM - 3:30 PM
MGMT 350,1,Management of Small Business,Closed,Cathy House,CB4-322,"Monday, Wednesday",11:10 AM - 12:30 PM
MGMT 351,1,Entrepreneurship General,Open,Michael Ogbolu,CB4-415,"Tuesday, Thursday",9:40 AM - 11:00 AM
MGMT 351,2,Entrepreneurship General,Open,Robert Singh,CB4-415,"Monday, Wednesday",8:10 AM - 9:30 AM
MGMT 351,3,Entrepreneurship General,Closed,Robert Singh,CB4-428,"Monday, Wednesday",11:10 AM - 12:30 PM
MGMT 351,4,Entrepreneurship General,Open,Ikenna Uzuegbunam,CB4-216,"Monday, Wednesday",12:40 PM - 2:00 PM
MGMT 353,1,Entrepreneurial Mktg,Open,Ikenna Uzuegbunam,CB4-217,"Monday, Wednesday",9:40 AM - 11:00 AM
MGMT 380,1,Seminar in Management,Open,Michael Ogbolu,CB4-418,"Tuesday, Thursday",11:10 AM - 12:30 PM
MGMT 390,1,Business Policy,Closed,Subodh Kulkarni,CB4-428,"Monday, Wednesday",2:10 PM - 3:30 PM
